0	P	1
0	D	2
0	type	3
2	D	7
2	type	3
2	S	8
7	D	7
7	type	3
8	S	13
13	S	13
14	E	17
14	T	18
14	F	19
15	E	23
15	T	24
15	F	25
15	C	26
16	E	23
16	T	24
16	F	25
16	C	32
21	E	35
21	T	36
21	F	37
23	relop	41
28	E	47
28	T	36
28	F	37
33	T	49
33	F	19
34	F	50
39	E	54
39	T	36
39	F	37
41	E	55
41	T	36
41	F	37
42	T	56
42	F	25
45	F	57
46	S	58
48	S	63
51	T	64
51	F	37
53	F	65
58	S	67
63	S	13
67	S	67
68	S	72
69	E	73
69	T	74
69	F	75
70	E	23
70	T	24
70	F	25
70	C	79
71	E	23
71	T	24
71	F	25
71	C	80
72	S	13
77	E	83
77	T	36
77	F	37
81	T	86
81	F	75
82	F	87
84	S	89
85	S	90
89	S	67
90	S	67
91	S	92
92	S	67
